"phrase","translation_hy","translation_ru","category","level","example_en"
"pull about","քաշել (about)","тянуть (about)","phrasal_verb","B1","Learners should notice how ""pull about"" changes meaning in context."
"pull across","քաշել (across)","тянуть (across)","phrasal_verb","B1","Learners should notice how ""pull across"" changes meaning in context."
"pull after","քաշել (after)","тянуть (after)","phrasal_verb","B1","Learners should notice how ""pull after"" changes meaning in context."
"pull along","քաշել (along)","тянуть (along)","phrasal_verb","B1","Learners should notice how ""pull along"" changes meaning in context."
"pull apart","քաշել (apart)","тянуть (apart)","phrasal_verb","B1","Learners should notice how ""pull apart"" changes meaning in context."
"pull around","քաշել (around)","тянуть (around)","phrasal_verb","B1","Learners should notice how ""pull around"" changes meaning in context."
"pull aside","քաշել (aside)","тянуть (aside)","phrasal_verb","B1","Learners should notice how ""pull aside"" changes meaning in context."
"pull away","քաշել (հեռու, դեն նետել)","тянуть (прочь)","phrasal_verb","B1","Learners should notice how ""pull away"" changes meaning in context."
"pull back","քաշել (ետ, պատասխանել)","тянуть (назад)","phrasal_verb","B1","Learners should notice how ""pull back"" changes meaning in context."
"pull by","քաշել (by)","тянуть (by)","phrasal_verb","B1","Learners should notice how ""pull by"" changes meaning in context."
"pull down","քաշել (ներքև, գրի առնել)","тянуть (вниз, записать)","phrasal_verb","B1","Learners should notice how ""pull down"" changes meaning in context."
"pull for","քաշել (for)","тянуть (for)","phrasal_verb","B1","Learners should notice how ""pull for"" changes meaning in context."
"pull forward","քաշել (forward)","тянуть (forward)","phrasal_verb","B1","Learners should notice how ""pull forward"" changes meaning in context."
"pull in","քաշել (ներս, հանձնել)","тянуть (внутрь)","phrasal_verb","B1","Learners should notice how ""pull in"" changes meaning in context."
"pull off","քաշել (անց, անջատել)","тянуть (прочь, отключить)","phrasal_verb","B1","Learners should notice how ""pull off"" changes meaning in context."
"pull on","քաշել (շարունակ, միացնել)","тянуть (дальше, включить)","phrasal_verb","B1","Learners should notice how ""pull on"" changes meaning in context."
"pull out","քաշել (դուրս, ամբողջությամբ)","тянуть (наружу, полностью)","phrasal_verb","B1","Learners should notice how ""pull out"" changes meaning in context."
"pull over","քաշել (վրայով, վերանայել)","тянуть (через, заново)","phrasal_verb","B1","Learners should notice how ""pull over"" changes meaning in context."
"pull through","քաշել (մինչև վերջ)","тянуть (насквозь)","phrasal_verb","B1","Learners should notice how ""pull through"" changes meaning in context."
"pull together","քաշել (together)","тянуть (together)","phrasal_verb","B1","Learners should notice how ""pull together"" changes meaning in context."
"pull under","քաշել (under)","тянуть (under)","phrasal_verb","B1","Learners should notice how ""pull under"" changes meaning in context."
"pull up","քաշել (վեր, ավարտել, ավելացնել)","тянуть (вверх, завершить)","phrasal_verb","B1","Learners should notice how ""pull up"" changes meaning in context."
"put about","դնել (about)","класть (about)","phrasal_verb","B1","Learners should notice how ""put about"" changes meaning in context."
"put across","դնել (across)","класть (across)","phrasal_verb","B1","Learners should notice how ""put across"" changes meaning in context."
"put after","դնել (after)","класть (after)","phrasal_verb","B1","Learners should notice how ""put after"" changes meaning in context."
"put along","դնել (along)","класть (along)","phrasal_verb","B1","Learners should notice how ""put along"" changes meaning in context."
"put apart","դնել (apart)","класть (apart)","phrasal_verb","B1","Learners should notice how ""put apart"" changes meaning in context."
"put around","դնել (around)","класть (around)","phrasal_verb","B1","Learners should notice how ""put around"" changes meaning in context."
"put aside","դնել (aside)","класть (aside)","phrasal_verb","B1","Learners should notice how ""put aside"" changes meaning in context."
"put back","դնել (ետ, պատասխանել)","класть (назад)","phrasal_verb","B1","Learners should notice how ""put back"" changes meaning in context."
"put by","դնել (by)","класть (by)","phrasal_verb","B1","Learners should notice how ""put by"" changes meaning in context."
"put for","դնել (for)","класть (for)","phrasal_verb","B1","Learners should notice how ""put for"" changes meaning in context."
"put forward","դնել (forward)","класть (forward)","phrasal_verb","B1","Learners should notice how ""put forward"" changes meaning in context."
"put in","դնել (ներս, հանձնել)","класть (внутрь)","phrasal_verb","B1","Learners should notice how ""put in"" changes meaning in context."
"put over","դնել (վրայով, վերանայել)","класть (через, заново)","phrasal_verb","B1","Learners should notice how ""put over"" changes meaning in context."
"put through","դնել (մինչև վերջ)","класть (насквозь)","phrasal_verb","B1","Learners should notice how ""put through"" changes meaning in context."
"put together","դնել (together)","класть (together)","phrasal_verb","B1","Learners should notice how ""put together"" changes meaning in context."
"put under","դնել (under)","класть (under)","phrasal_verb","B1","Learners should notice how ""put under"" changes meaning in context."
"put up","դնել (վեր, ավարտել, ավելացնել)","класть (вверх, завершить)","phrasal_verb","B1","Learners should notice how ""put up"" changes meaning in context."
"run about","վազել (about)","бежать (about)","phrasal_verb","B1","Learners should notice how ""run about"" changes meaning in context."
"run across","վազել (across)","бежать (across)","phrasal_verb","B1","Learners should notice how ""run across"" changes meaning in context."
"run after","վազել (after)","бежать (after)","phrasal_verb","B1","Learners should notice how ""run after"" changes meaning in context."
"run along","վազել (along)","бежать (along)","phrasal_verb","B1","Learners should notice how ""run along"" changes meaning in context."
"run apart","վազել (apart)","бежать (apart)","phrasal_verb","B1","Learners should notice how ""run apart"" changes meaning in context."
"run around","վազել (around)","бежать (around)","phrasal_verb","B1","Learners should notice how ""run around"" changes meaning in context."
"run aside","վազել (aside)","бежать (aside)","phrasal_verb","B1","Learners should notice how ""run aside"" changes meaning in context."
"run away","վազել (հեռու, դեն նետել)","бежать (прочь)","phrasal_verb","B1","Learners should notice how ""run away"" changes meaning in context."
"run back","վազել (ետ, պատասխանել)","бежать (назад)","phrasal_verb","B1","Learners should notice how ""run back"" changes meaning in context."
"run by","վազել (by)","бежать (by)","phrasal_verb","B1","Learners should notice how ""run by"" changes meaning in context."
"run down","վազել (ներքև, գրի առնել)","бежать (вниз, записать)","phrasal_verb","B1","Learners should notice how ""run down"" changes meaning in context."
"run for","վազել (for)","бежать (for)","phrasal_verb","B1","Learners should notice how ""run for"" changes meaning in context."
"run forward","վազել (forward)","бежать (forward)","phrasal_verb","B1","Learners should notice how ""run forward"" changes meaning in context."
"run in","վազել (ներս, հանձնել)","бежать (внутрь)","phrasal_verb","B1","Learners should notice how ""run in"" changes meaning in context."
"run off","վազել (անց, անջատել)","бежать (прочь, отключить)","phrasal_verb","B1","Learners should notice how ""run off"" changes meaning in context."
"run on","վազել (շարունակ, միացնել)","бежать (дальше, включить)","phrasal_verb","B1","Learners should notice how ""run on"" changes meaning in context."
"run out","վազել (դուրս, ամբողջությամբ)","бежать (наружу, полностью)","phrasal_verb","B1","Learners should notice how ""run out"" changes meaning in context."
"run over","վազել (վրայով, վերանայել)","бежать (через, заново)","phrasal_verb","B1","Learners should notice how ""run over"" changes meaning in context."
"run through","վազել (մինչև վերջ)","бежать (насквозь)","phrasal_verb","B1","Learners should notice how ""run through"" changes meaning in context."
"run together","վազել (together)","бежать (together)","phrasal_verb","B1","Learners should notice how ""run together"" changes meaning in context."
"run under","վազել (under)","бежать (under)","phrasal_verb","B1","Learners should notice how ""run under"" changes meaning in context."
"run up","վազել (վեր, ավարտել, ավելացնել)","бежать (вверх, завершить)","phrasal_verb","B1","Learners should notice how ""run up"" changes meaning in context."
"set about","դնել (about)","устанавливать (about)","phrasal_verb","B1","Learners should notice how ""set about"" changes meaning in context."
"set across","դնել (across)","устанавливать (across)","phrasal_verb","B1","Learners should notice how ""set across"" changes meaning in context."
"set after","դնել (after)","устанавливать (after)","phrasal_verb","B1","Learners should notice how ""set after"" changes meaning in context."
"set along","դնել (along)","устанавливать (along)","phrasal_verb","B1","Learners should notice how ""set along"" changes meaning in context."
"set apart","դնել (apart)","устанавливать (apart)","phrasal_verb","B1","Learners should notice how ""set apart"" changes meaning in context."
"set around","դնել (around)","устанавливать (around)","phrasal_verb","B1","Learners should notice how ""set around"" changes meaning in context."
"set aside","դնել (aside)","устанавливать (aside)","phrasal_verb","B1","Learners should notice how ""set aside"" changes meaning in context."
"set away","դնել (հեռու, դեն նետել)","устанавливать (прочь)","phrasal_verb","B1","Learners should notice how ""set away"" changes meaning in context."
"set back","դնել (ետ, պատասխանել)","устанавливать (назад)","phrasal_verb","B1","Learners should notice how ""set back"" changes meaning in context."
"set by","դնել (by)","устанавливать (by)","phrasal_verb","B1","Learners should notice how ""set by"" changes meaning in context."
"set down","դնել (ներքև, գրի առնել)","устанавливать (вниз, записать)","phrasal_verb","B1","Learners should notice how ""set down"" changes meaning in context."
"set for","դնել (for)","устанавливать (for)","phrasal_verb","B1","Learners should notice how ""set for"" changes meaning in context."
"set forward","դնել (forward)","устанавливать (forward)","phrasal_verb","B1","Learners should notice how ""set forward"" changes meaning in context."
"set in","դնել (ներս, հանձնել)","устанавливать (внутрь)","phrasal_verb","B1","Learners should notice how ""set in"" changes meaning in context."
"set on","դնել (շարունակ, միացնել)","устанавливать (дальше, включить)","phrasal_verb","B1","Learners should notice how ""set on"" changes meaning in context."
"set out","դնել (դուրս, ամբողջությամբ)","устанавливать (наружу, полностью)","phrasal_verb","B1","Learners should notice how ""set out"" changes meaning in context."
"set over","դնել (վրայով, վերանայել)","устанавливать (через, заново)","phrasal_verb","B1","Learners should notice how ""set over"" changes meaning in context."
"set through","դնել (մինչև վերջ)","устанавливать (насквозь)","phrasal_verb","B1","Learners should notice how ""set through"" changes meaning in context."
"set together","դնել (together)","устанавливать (together)","phrasal_verb","B1","Learners should notice how ""set together"" changes meaning in context."
"set under","դնել (under)","устанавливать (under)","phrasal_verb","B1","Learners should notice how ""set under"" changes meaning in context."
"show about","ցույց տալ (about)","показывать (about)","phrasal_verb","B1","Learners should notice how ""show about"" changes meaning in context."
"show across","ցույց տալ (across)","показывать (across)","phrasal_verb","B1","Learners should notice how ""show across"" changes meaning in context."
"show after","ցույց տալ (after)","показывать (after)","phrasal_verb","B1","Learners should notice how ""show after"" changes meaning in context."
"show along","ցույց տալ (along)","показывать (along)","phrasal_verb","B1","Learners should notice how ""show along"" changes meaning in context."
"show apart","ցույց տալ (apart)","показывать (apart)","phrasal_verb","B1","Learners should notice how ""show apart"" changes meaning in context."
"show around","ցույց տալ (around)","показывать (around)","phrasal_verb","B1","Learners should notice how ""show around"" changes meaning in context."
"show aside","ցույց տալ (aside)","показывать (aside)","phrasal_verb","B1","Learners should notice how ""show aside"" changes meaning in context."
"show away","ցույց տալ (հեռու, դեն նետել)","показывать (прочь)","phrasal_verb","B1","Learners should notice how ""show away"" changes meaning in context."
"show back","ցույց տալ (ետ, պատասխանել)","показывать (назад)","phrasal_verb","B1","Learners should notice how ""show back"" changes meaning in context."
"show by","ցույց տալ (by)","показывать (by)","phrasal_verb","B1","Learners should notice how ""show by"" changes meaning in context."
"show down","ցույց տալ (ներքև, գրի առնել)","показывать (вниз, записать)","phrasal_verb","B1","Learners should notice how ""show down"" changes meaning in context."
"show for","ցույց տալ (for)","показывать (for)","phrasal_verb","B1","Learners should notice how ""show for"" changes meaning in context."
"show forward","ցույց տալ (forward)","показывать (forward)","phrasal_verb","B1","Learners should notice how ""show forward"" changes meaning in context."
"show in","ցույց տալ (ներս, հանձնել)","показывать (внутрь)","phrasal_verb","B1","Learners should notice how ""show in"" changes meaning in context."
"show on","ցույց տալ (շարունակ, միացնել)","показывать (дальше, включить)","phrasal_verb","B1","Learners should notice how ""show on"" changes meaning in context."
"show out","ցույց տալ (դուրս, ամբողջությամբ)","показывать (наружу, полностью)","phrasal_verb","B1","Learners should notice how ""show out"" changes meaning in context."
"show over","ցույց տալ (վրայով, վերանայել)","показывать (через, заново)","phrasal_verb","B1","Learners should notice how ""show over"" changes meaning in context."
"show through","ցույց տալ (մինչև վերջ)","показывать (насквозь)","phrasal_verb","B1","Learners should notice how ""show through"" changes meaning in context."
"show together","ցույց տալ (together)","показывать (together)","phrasal_verb","B1","Learners should notice how ""show together"" changes meaning in context."
"show under","ցույց տալ (under)","показывать (under)","phrasal_verb","B1","Learners should notice how ""show under"" changes meaning in context."
"shut about","փակել (about)","закрывать (about)","phrasal_verb","B1","Learners should notice how ""shut about"" changes meaning in context."
"shut across","փակել (across)","закрывать (across)","phrasal_verb","B1","Learners should notice how ""shut across"" changes meaning in context."
"shut after","փակել (after)","закрывать (after)","phrasal_verb","B1","Learners should notice how ""shut after"" changes meaning in context."
"shut along","փակել (along)","закрывать (along)","phrasal_verb","B1","Learners should notice how ""shut along"" changes meaning in context."
"shut apart","փակել (apart)","закрывать (apart)","phrasal_verb","B1","Learners should notice how ""shut apart"" changes meaning in context."
"shut around","փակել (around)","закрывать (around)","phrasal_verb","B1","Learners should notice how ""shut around"" changes meaning in context."
"shut aside","փակել (aside)","закрывать (aside)","phrasal_verb","B1","Learners should notice how ""shut aside"" changes meaning in context."
"shut away","փակել (հեռու, դեն նետել)","закрывать (прочь)","phrasal_verb","B1","Learners should notice how ""shut away"" changes meaning in context."
"shut back","փակել (ետ, պատասխանել)","закрывать (назад)","phrasal_verb","B1","Learners should notice how ""shut back"" changes meaning in context."
"shut by","փակել (by)","закрывать (by)","phrasal_verb","B1","Learners should notice how ""shut by"" changes meaning in context."
"shut down","փակել (ներքև, գրի առնել)","закрывать (вниз, записать)","phrasal_verb","B1","Learners should notice how ""shut down"" changes meaning in context."
"shut for","փակել (for)","закрывать (for)","phrasal_verb","B1","Learners should notice how ""shut for"" changes meaning in context."
"shut forward","փակել (forward)","закрывать (forward)","phrasal_verb","B1","Learners should notice how ""shut forward"" changes meaning in context."
"shut in","փակել (ներս, հանձնել)","закрывать (внутрь)","phrasal_verb","B1","Learners should notice how ""shut in"" changes meaning in context."
"shut off","փակել (անց, անջատել)","закрывать (прочь, отключить)","phrasal_verb","B1","Learners should notice how ""shut off"" changes meaning in context."
"shut on","փակել (շարունակ, միացնել)","закрывать (дальше, включить)","phrasal_verb","B1","Learners should notice how ""shut on"" changes meaning in context."
"shut out","փակել (դուրս, ամբողջությամբ)","закрывать (наружу, полностью)","phrasal_verb","B1","Learners should notice how ""shut out"" changes meaning in context."
"shut over","փակել (վրայով, վերանայել)","закрывать (через, заново)","phrasal_verb","B1","Learners should notice how ""shut over"" changes meaning in context."
"shut through","փակել (մինչև վերջ)","закрывать (насквозь)","phrasal_verb","B1","Learners should notice how ""shut through"" changes meaning in context."
"shut together","փակել (together)","закрывать (together)","phrasal_verb","B1","Learners should notice how ""shut together"" changes meaning in context."
"shut under","փակել (under)","закрывать (under)","phrasal_verb","B1","Learners should notice how ""shut under"" changes meaning in context."
"sit about","նստել (about)","сидеть (about)","phrasal_verb","B1","Learners should notice how ""sit about"" changes meaning in context."
"sit across","նստել (across)","сидеть (across)","phrasal_verb","B1","Learners should notice how ""sit across"" changes meaning in context."
"sit after","նստել (after)","сидеть (after)","phrasal_verb","B1","Learners should notice how ""sit after"" changes meaning in context."
"sit along","նստել (along)","сидеть (along)","phrasal_verb","B1","Learners should notice how ""sit along"" changes meaning in context."
"sit apart","նստել (apart)","сидеть (apart)","phrasal_verb","B1","Learners should notice how ""sit apart"" changes meaning in context."
"sit around","նստել (around)","сидеть (around)","phrasal_verb","B1","Learners should notice how ""sit around"" changes meaning in context."
"sit aside","նստել (aside)","сидеть (aside)","phrasal_verb","B1","Learners should notice how ""sit aside"" changes meaning in context."
"sit away","նստել (հեռու, դեն նետել)","сидеть (прочь)","phrasal_verb","B1","Learners should notice how ""sit away"" changes meaning in context."
"sit back","նստել (ետ, պատասխանել)","сидеть (назад)","phrasal_verb","B1","Learners should notice how ""sit back"" changes meaning in context."
"sit by","նստել (by)","сидеть (by)","phrasal_verb","B1","Learners should notice how ""sit by"" changes meaning in context."
"sit down","նստել (ներքև, գրի առնել)","сидеть (вниз, записать)","phrasal_verb","B1","Learners should notice how ""sit down"" changes meaning in context."
"sit for","նստել (for)","сидеть (for)","phrasal_verb","B1","Learners should notice how ""sit for"" changes meaning in context."
"sit forward","նստել (forward)","сидеть (forward)","phrasal_verb","B1","Learners should notice how ""sit forward"" changes meaning in context."
"sit in","նստել (ներս, հանձնել)","сидеть (внутрь)","phrasal_verb","B1","Learners should notice how ""sit in"" changes meaning in context."
"sit off","նստել (անց, անջատել)","сидеть (прочь, отключить)","phrasal_verb","B1","Learners should notice how ""sit off"" changes meaning in context."
"sit on","նստել (շարունակ, միացնել)","сидеть (дальше, включить)","phrasal_verb","B1","Learners should notice how ""sit on"" changes meaning in context."
"sit out","նստել (դուրս, ամբողջությամբ)","сидеть (наружу, полностью)","phrasal_verb","B1","Learners should notice how ""sit out"" changes meaning in context."
"sit over","նստել (վրայով, վերանայել)","сидеть (через, заново)","phrasal_verb","B1","Learners should notice how ""sit over"" changes meaning in context."
"sit through","նստել (մինչև վերջ)","сидеть (насквозь)","phrasal_verb","B1","Learners should notice how ""sit through"" changes meaning in context."
"sit together","նստել (together)","сидеть (together)","phrasal_verb","B1","Learners should notice how ""sit together"" changes meaning in context."
"sit under","նստել (under)","сидеть (under)","phrasal_verb","B1","Learners should notice how ""sit under"" changes meaning in context."
"sit up","նստել (վեր, ավարտել, ավելացնել)","сидеть (вверх, завершить)","phrasal_verb","B1","Learners should notice how ""sit up"" changes meaning in context."
"stand about","կանգնել (about)","стоять (about)","phrasal_verb","B1","Learners should notice how ""stand about"" changes meaning in context."
"stand across","կանգնել (across)","стоять (across)","phrasal_verb","B1","Learners should notice how ""stand across"" changes meaning in context."
"stand after","կանգնել (after)","стоять (after)","phrasal_verb","B1","Learners should notice how ""stand after"" changes meaning in context."
"stand along","կանգնել (along)","стоять (along)","phrasal_verb","B1","Learners should notice how ""stand along"" changes meaning in context."
"stand apart","կանգնել (apart)","стоять (apart)","phrasal_verb","B1","Learners should notice how ""stand apart"" changes meaning in context."
"stand around","կանգնել (around)","стоять (around)","phrasal_verb","B1","Learners should notice how ""stand around"" changes meaning in context."
"stand aside","կանգնել (aside)","стоять (aside)","phrasal_verb","B1","Learners should notice how ""stand aside"" changes meaning in context."
"stand away","կանգնել (հեռու, դեն նետել)","стоять (прочь)","phrasal_verb","B1","Learners should notice how ""stand away"" changes meaning in context."
"stand back","կանգնել (ետ, պատասխանել)","стоять (назад)","phrasal_verb","B1","Learners should notice how ""stand back"" changes meaning in context."
"stand by","կանգնել (by)","стоять (by)","phrasal_verb","B1","Learners should notice how ""stand by"" changes meaning in context."
"stand down","կանգնել (ներքև, գրի առնել)","стоять (вниз, записать)","phrasal_verb","B1","Learners should notice how ""stand down"" changes meaning in context."
"stand for","կանգնել (for)","стоять (for)","phrasal_verb","B1","Learners should notice how ""stand for"" changes meaning in context."
"stand forward","կանգնել (forward)","стоять (forward)","phrasal_verb","B1","Learners should notice how ""stand forward"" changes meaning in context."
"stand in","կանգնել (ներս, հանձնել)","стоять (внутрь)","phrasal_verb","B1","Learners should notice how ""stand in"" changes meaning in context."
"stand off","կանգնել (անց, անջատել)","стоять (прочь, отключить)","phrasal_verb","B1","Learners should notice how ""stand off"" changes meaning in context."
"stand on","կանգնել (շարունակ, միացնել)","стоять (дальше, включить)","phrasal_verb","B1","Learners should notice how ""stand on"" changes meaning in context."
"stand out","կանգնել (դուրս, ամբողջությամբ)","стоять (наружу, полностью)","phrasal_verb","B1","Learners should notice how ""stand out"" changes meaning in context."
"stand over","կանգնել (վրայով, վերանայել)","стоять (через, заново)","phrasal_verb","B1","Learners should notice how ""stand over"" changes meaning in context."
"stand through","կանգնել (մինչև վերջ)","стоять (насквозь)","phrasal_verb","B1","Learners should notice how ""stand through"" changes meaning in context."
"stand together","կանգնել (together)","стоять (together)","phrasal_verb","B1","Learners should notice how ""stand together"" changes meaning in context."
"stand under","կանգնել (under)","стоять (under)","phrasal_verb","B1","Learners should notice how ""stand under"" changes meaning in context."
"take about","վերցնել (about)","брать (about)","phrasal_verb","B1","Learners should notice how ""take about"" changes meaning in context."
"take across","վերցնել (across)","брать (across)","phrasal_verb","B1","Learners should notice how ""take across"" changes meaning in context."
"take along","վերցնել (along)","брать (along)","phrasal_verb","B1","Learners should notice how ""take along"" changes meaning in context."
"take apart","վերցնել (apart)","брать (apart)","phrasal_verb","B1","Learners should notice how ""take apart"" changes meaning in context."
"take around","վերցնել (around)","брать (around)","phrasal_verb","B1","Learners should notice how ""take around"" changes meaning in context."
"take aside","վերցնել (aside)","брать (aside)","phrasal_verb","B1","Learners should notice how ""take aside"" changes meaning in context."
"take away","վերցնել (հեռու, դեն նետել)","брать (прочь)","phrasal_verb","B1","Learners should notice how ""take away"" changes meaning in context."
"take back","վերցնել (ետ, պատասխանել)","брать (назад)","phrasal_verb","B1","Learners should notice how ""take back"" changes meaning in context."
"take by","վերցնել (by)","брать (by)","phrasal_verb","B1","Learners should notice how ""take by"" changes meaning in context."
"take down","վերցնել (ներքև, գրի առնել)","брать (вниз, записать)","phrasal_verb","B1","Learners should notice how ""take down"" changes meaning in context."
"take for","վերցնել (for)","брать (for)","phrasal_verb","B1","Learners should notice how ""take for"" changes meaning in context."
"take forward","վերցնել (forward)","брать (forward)","phrasal_verb","B1","Learners should notice how ""take forward"" changes meaning in context."
"take in","վերցնել (ներս, հանձնել)","брать (внутрь)","phrasal_verb","B1","Learners should notice how ""take in"" changes meaning in context."
"take on","վերցնել (շարունակ, միացնել)","брать (дальше, включить)","phrasal_verb","B1","Learners should notice how ""take on"" changes meaning in context."
"take over","վերցնել (վրայով, վերանայել)","брать (через, заново)","phrasal_verb","B1","Learners should notice how ""take over"" changes meaning in context."
"take through","վերցնել (մինչև վերջ)","брать (насквозь)","phrasal_verb","B1","Learners should notice how ""take through"" changes meaning in context."
"take together","վերցնել (together)","брать (together)","phrasal_verb","B1","Learners should notice how ""take together"" changes meaning in context."
"take under","վերցնել (under)","брать (under)","phrasal_verb","B1","Learners should notice how ""take under"" changes meaning in context."
"talk about","խոսել (about)","говорить (about)","phrasal_verb","B1","Learners should notice how ""talk about"" changes meaning in context."
"talk across","խոսել (across)","говорить (across)","phrasal_verb","B1","Learners should notice how ""talk across"" changes meaning in context."
"talk after","խոսել (after)","говорить (after)","phrasal_verb","B1","Learners should notice how ""talk after"" changes meaning in context."
"talk along","խոսել (along)","говорить (along)","phrasal_verb","B1","Learners should notice how ""talk along"" changes meaning in context."
"talk apart","խոսել (apart)","говорить (apart)","phrasal_verb","B1","Learners should notice how ""talk apart"" changes meaning in context."
"talk around","խոսել (around)","говорить (around)","phrasal_verb","B1","Learners should notice how ""talk around"" changes meaning in context."
"talk aside","խոսել (aside)","говорить (aside)","phrasal_verb","B1","Learners should notice how ""talk aside"" changes meaning in context."
"talk away","խոսել (հեռու, դեն նետել)","говорить (прочь)","phrasal_verb","B1","Learners should notice how ""talk away"" changes meaning in context."
"talk back","խոսել (ետ, պատասխանել)","говорить (назад)","phrasal_verb","B1","Learners should notice how ""talk back"" changes meaning in context."
"talk by","խոսել (by)","говорить (by)","phrasal_verb","B1","Learners should notice how ""talk by"" changes meaning in context."
